SHIP,CRUISE,STATION,CAST,CTD_CAST,LONGITUDE,LATITUDE,YEAR,MONTH,DAY,TIMEHR,TIMEMIN,DEPTH,SALA,PHNBS,PHTOTAL,DOMM,DOML,NTRA,PHOS,SLCA,NTRI,AMON,CHLA,POC,PON,DOC,DIC,ALK
OR3,561,S1,1,561S01D,116.0058,17.9972,1999,9,19,0,55,2,,,,239,,0,0,2,0,,0.24,92.8,20.5,,1878.2,2199.2
OR3,561,S1,1,,116.0058,17.9972,1999,9,19,0,55,5,,,,248,,0,0,2,0,,0.28,110,,,1878.4,2197.5
OR3,561,S1,1,,116.0058,17.9972,1999,9,19,0,55,10,,,,247,,0,0,2,0,,0.27,104.4,17.5,,1878.6,2198.5
OR3,561,S1,1,,116.0058,17.9972,1999,9,19,0,55,20,,,,225,,0,0,2,0,,0.33,113.7,19.5,,1880.1,2198.6
OR3,561,S1,1,,116.0058,17.9972,1999,9,19,0,55,30,,,,228,,0,0,2,0,,,104.2,19.6,,1882.1,2200.3
OR3,561,S1,1,,116.0058,17.9972,1999,9,19,0,55,40,,,,222,,0.1,0.02,2,0,,,,,,1885.7,2200.9
OR3,561,S1,2,561S02D,116.0021,18.0003,1999,9,19,2,23,50,,,,240,,0.2,0.03,2,0,,0.48,127.6,19.3,,1914.8,2223.9
OR3,561,S1,2,,116.0021,18.0003,1999,9,19,2,23,60,,,,235,,0.4,0.05,3,0.1,,,126,,,1954.9,2245.6
OR3,561,S1,2,,116.0021,18.0003,1999,9,19,2,23,80,,,,193,,2.5,0.29,6,0.17,,,86.9,12,,2004.5,2260.7
OR3,561,S1,2,,116.0021,18.0003,1999,9,19,2,23,101,,,,164,,8.7,0.65,10,0.02,,0.11,64.4,7.5,,2043.9,2266.7
OR3,561,S1,2,,116.0021,18.0003,1999,9,19,2,23,150,,,,161,,12,0.85,16,0,,0.03,,,,2084.4,2279.6
OR3,561,S1,2,,116.0021,18.0003,1999,9,19,2,23,200,,,,163,,14.1,0.99,20,0,,0.01,64.6,8.3,,2100.2,2284.5
OR3,561,S1,3,561S03D,116.0035,17.9967,1999,9,19,3,18,250,,,,158,,17.5,1.22,28,0,,,,,,2127.4,2288.2
OR3,561,S1,3,,116.0035,17.9967,1999,9,19,3,18,300,,,,143,,21.3,1.49,38,0,,,,,,2152.5,2293.9
OR3,561,S1,3,,116.0035,17.9967,1999,9,19,3,18,400,,,,124,,26,1.82,54,0,,,,,,2191.4,2305.5
OR3,561,S1,3,,116.0035,17.9967,1999,9,19,3,18,500,,,,110,,29.1,2.05,65,0,,,,,,2220.4,2319.9
OR3,561,S1,4,561S04D,116.0351,18.008,1999,9,19,4,36,600,,,,106,,31,2.21,78,0,,,,,,2240.4,2339
OR3,561,S1,4,,116.0351,18.008,1999,9,19,4,36,699,,,,100,,33.5,2.39,90,0,,,,,,2259.1,2342.9
OR3,561,S1,4,,116.0351,18.008,1999,9,19,4,36,801,,,,101,,35.1,2.5,102,0,,,,,,2279.8,2358.6
OR3,561,S1,4,,116.0351,18.008,1999,9,19,4,36,1001,,,,107,,36.8,2.65,115,0,,,,,,2307.5,2388.2
OR3,561,S1,4,,116.0351,18.008,1999,9,19,4,36,1201,,,,109,,37.6,2.7,124,0,,,,,,2330,2402.1
OR3,561,S1,4,,116.0351,18.008,1999,9,19,4,36,1499,,,,113,,38.2,2.73,135,0,,,,,,2343.6,2420
OR3,561,S1,6,561S06D,116.0237,18.0067,1999,9,19,7,20,1800,,,,119,,38.3,2.75,142,0,,,,,,2344.7,2420
OR3,561,S1,6,,116.0237,18.0067,1999,9,19,7,20,2000,,,,120,,38.5,2.77,146,0,,,,,,2345.8,2423.8
OR3,561,S1,6,,116.0237,18.0067,1999,9,19,7,20,2200,,,,123,,38.7,2.79,148,0,,,,,,2347,2424.3
OR3,561,S1,6,,116.0237,18.0067,1999,9,19,7,20,2400,,,,129,,38.9,2.82,149,0,,,,,,2345.1,2423.6
OR3,561,S1,6,,116.0237,18.0067,1999,9,19,7,20,2500,,,,128,,38.9,2.82,150,0,,,,,,2346,2423.9
OR3,561,S1,10,561S110D,116.0266,18.0013,1999,9,19,12,53,2,,,,225,,0,0,2,0,,0.24,,,,1879.2,2197.3
OR3,561,S1,10,,116.0266,18.0013,1999,9,19,12,53,5,,,,225,,0,0,2,0,,0.28,,,,1879.7,2199.9
OR3,561,S1,10,,116.0266,18.0013,1999,9,19,12,53,10,,,,226,,0,0,2,0,,,,,,1879.4,2198.9
OR3,561,S1,10,,116.0266,18.0013,1999,9,19,12,53,19,,,,225,,0,0,2,0,,0.28,,,,1879.6,2197.5
OR3,561,S1,10,,116.0266,18.0013,1999,9,19,12,53,30,,,,224,,0,0,2,0,,0.32,,,,1880.4,2198.8
OR3,561,S1,10,,116.0266,18.0013,1999,9,19,12,53,41,,,,224,,0,0.01,2,0,,0.36,,,,1885.1,2198.9
OR3,561,S1,11,561S111D,116.0076,18.0019,1999,9,19,14,0,51,,,,228,,0.1,0.02,2,0,,0.54,,,,1901,2210.4
OR3,561,S1,11,,116.0076,18.0019,1999,9,19,14,0,61,,,,229,,0.2,0.03,3,0,,,,,,1928.8,2232.4
OR3,561,S1,11,,116.0076,18.0019,1999,9,19,14,0,81,,,,207,,1.3,0.32,4,0.23,,0.2,,,,1982.1,2259.4
OR3,561,S1,11,,116.0076,18.0019,1999,9,19,14,0,102,,,,180,,8,0.61,9,0.04,,0.09,,,,2037.2,2272.1
OR3,561,S1,11,,116.0076,18.0019,1999,9,19,14,0,151,,,,159,,12.3,0.88,14,0,,0.02,,,,2081.2,2289.6
OR3,561,S1,11,,116.0076,18.0019,1999,9,19,14,0,200,,,,158,,14.1,0.99,23,0,,0,,,,2100.8,2285.5
OR3,561,S1,12,561S112D,116.029,18.0086,1999,9,19,14,45,253,,,,160,,17,1.2,29,0,,,,,,2122.9,2294.8
OR3,561,S1,12,,116.029,18.0086,1999,9,19,14,45,300,,,,143,,20.7,1.46,39,0,,,,,,2154,2296.6
OR3,561,S1,12,,116.029,18.0086,1999,9,19,14,45,400,,,,123,,25.3,1.8,53,0,,,,,,2189.8,2300.2
OR3,561,S1,12,,116.029,18.0086,1999,9,19,14,45,490,,,,115,,28.3,2.05,63,0,,,,,,2215.5,2315
OR3,561,S1,13,561S113D,116.003,18.0006,1999,9,19,15,57,600,,,,104,,30.8,2.18,76,0,,,,,,2240.5,2328.4
OR3,561,S1,13,,116.003,18.0006,1999,9,19,15,57,699,,,,102,,33.3,2.35,88,0,,,,,,2257.2,2343.4
OR3,561,S1,13,,116.003,18.0006,1999,9,19,15,57,801,,,,99,,34.9,2.47,101,0,,,,,,2277.2,2355
OR3,561,S1,13,,116.003,18.0006,1999,9,19,15,57,998,,,,106,,36.4,2.63,113,0,,,,,,2307.6,2382.3
OR3,561,S1,13,,116.003,18.0006,1999,9,19,15,57,1198,,,,105,,37.6,2.7,122,0,,,,,,2324,2401.8
OR3,561,S1,13,,116.003,18.0006,1999,9,19,15,57,1500,,,,106,,38,2.75,136,0,,,,,,2340.8,2420.3
OR3,561,S1,18,561S118D,115.9999,17.9993,1999,9,19,22,38,5,,,,,,,,,,,0.22,,,,,
OR3,561,S1,18,,115.9999,17.9993,1999,9,19,22,38,10,,,,,,,,,,,0.24,,,,,
OR3,561,S1,18,,115.9999,17.9993,1999,9,19,22,38,20,,,,,,,,,,,0.26,,,,,
OR3,561,S1,19,561S119D,116.0228,17.9859,1999,9,19,23,7,50,,,,,,,,,,,0.38,,,,,
OR3,561,S1,19,,116.0228,17.9859,1999,9,19,23,7,61,,,,,,,,,,,0.36,,,,,
OR3,561,S1,19,,116.0228,17.9859,1999,9,19,23,7,101,,,,,,,,,,,0.07,,,,,
OR3,561,S1,19,,116.0228,17.9859,1999,9,19,23,7,150,,,,,,,,,,,0.02,,,,,
OR3,561,S1,19,,116.0228,17.9859,1999,9,19,23,7,201,,,,,,,,,,,0,,,,,
OR3,561,S1,23,561S123D,116.023,18.0004,1999,9,20,4,0,1800,,,,,,,,,,,,,,,2345.6,2420.3
OR3,561,S1,24,561S124D,116.019,17.9974,1999,9,20,7,25,2000,,,,,,,,,,,,,,,2345,2420.1
OR3,561,S1,25,561S125D,116.0434,17.9948,1999,9,20,8,0,2200,,,,,,,,,,,,,,,2345.1,2422.2
OR3,561,S1,26,561S126D,116.0009,17.9996,1999,9,20,8,35,2400,,,,,,,,,,,,,,,2343,2425.5
OR3,561,S1,27,561S127D,116.0218,17.9896,1999,9,20,9,25,2505,,,,,,,,,,,,,,,2344,2425
OR3,585,S1,1,,116.0147,18.0046,1999,11,23,18,26,1,,,,231,,0,0,2,0,,0.15,100,12.6,,1862.9,2176.6
OR3,585,S1,1,,116.0147,18.0046,1999,11,23,18,26,5,,,,224,,0,0,2,0,,0.14,125.2,17.9,,1862.8,2180.7
OR3,585,S1,1,,116.0147,18.0046,1999,11,23,18,26,11,,,,228,,0,0,2,0,,0.15,,,,1862.3,2180.5
OR3,585,S1,1,,116.0147,18.0046,1999,11,23,18,26,20,,,,224,,0,0.01,2,0,,,51.4,5.9,,1862.6,2179.9
OR3,585,S1,1,,116.0147,18.0046,1999,11,23,18,26,30,,,,239,,0,0.02,2,0,,,41.6,4.5,,1863.2,2181.7
OR3,585,S1,1,,116.0147,18.0046,1999,11,23,18,26,40,,,,226,,0,0.04,3,0,,,14,,,1863.3,2180.1
OR3,585,S1,2,,116.0062,18.9972,1999,11,23,18,38,51,,,,217,,0.4,0.1,5,0.1,,,22,,,1929.4,2231.2
OR3,585,S1,2,,116.0062,18.9972,1999,11,23,18,38,61,,,,205,,0.9,0.18,6,0.2,,0.47,41.5,4,,1977.7,2256.9
OR3,585,S1,2,,116.0062,18.9972,1999,11,23,18,38,81,,,,188,,3.3,0.3,6,0.1,,0.2,21.9,2,,2009.8,2265.1
OR3,585,S1,2,,116.0062,18.9972,1999,11,23,18,38,101,,,,184,,7.8,0.56,9,0,,,21.6,0.8,,2030.7,2284.7
OR3,585,S1,2,,116.0062,18.9972,1999,11,23,18,38,150,,,,177,,13,0.95,15,0,,0.03,12,,,2093.8,2277.9
OR3,585,S1,2,,116.0062,18.9972,1999,11,23,18,38,198,,,,168,,15.3,1.08,19,0,,0,,,,2112.6,2289.5
OR3,585,S1,3,585S1D01,116.0044,17.999,1999,11,23,19,13,249,,,,154,,18.3,1.3,30,0,,,,,,2137.1,2294.6
OR3,585,S1,3,,116.0044,17.999,1999,11,23,19,13,303,,,,143,,22.5,1.53,35,0,,,,,,2164.5,2300.5
OR3,585,S1,3,,116.0044,17.999,1999,11,23,19,13,399,,,,131,,26.8,1.9,50,0,,,,,,2206.5,2312.4
OR3,585,S1,3,,116.0044,17.999,1999,11,23,19,13,494,,,,121,,30,2.1,60,0,,,,,,2222.8,2324.6
OR3,585,S1,4,585S1D02,115.9769,18.002,1999,11,23,20,18,600,,,,114,,31.8,2.25,80,0,,,,,,2240.9,2335.6
OR3,585,S1,4,,115.9769,18.002,1999,11,23,20,18,700,,,,108,,34.2,2.4,86,0,,,,,,2255.2,2349.3
OR3,585,S1,4,,115.9769,18.002,1999,11,23,20,18,799,,,,102,,35.5,2.52,99,0,,,,,,2278.1,2361.5
OR3,585,S1,4,,115.9769,18.002,1999,11,23,20,18,999,,,,110,,37,2.65,112,0,,,,,,2309.7,2389.6
OR3,585,S1,4,,115.9769,18.002,1999,11,23,20,18,1199,,,,115,,37.6,2.72,123,0,,,,,,2329.5,2403.1
OR3,585,S1,4,,115.9769,18.002,1999,11,23,20,18,1501,,,,119,,38.1,2.76,132,0,,,,,,2333.9,2418.8
OR3,585,S1,6,585S1D04,115.993,18.0114,1999,11,23,22,30,1798,,,,120,,38.5,2.77,140,0,,,,,,2342.4,2418.7
OR3,585,S1,6,,115.993,18.0114,1999,11,23,22,30,2000,,,,122,,38.6,2.76,145,0,,,,,,2344.7,2425.6
OR3,585,S1,6,,115.993,18.0114,1999,11,23,22,30,2200,,,,123,,38.8,2.79,146,0,,,,,,2344.4,2426.5
OR3,585,S1,6,,115.993,18.0114,1999,11,23,22,30,2399,,,,124,,39,2.81,147,0,,,,,,2343.5,2427.3
OR3,585,S1,6,,115.993,18.0114,1999,11,23,22,30,2499,,,,126,,39,2.83,148,0,,,,,,2341.9,2427
OR3,585,S1,10,,115.9629,18.0147,1999,11,24,4,15,2,,,,224,,0,0,2,0,,0.17,,,,1862.6,2175.8
OR3,585,S1,10,,115.9629,18.0147,1999,11,24,4,15,5,,,,223,,0,0,2,0,,0.17,,,,1863,2178.5
OR3,585,S1,10,,115.9629,18.0147,1999,11,24,4,15,11,,,,223,,0,0,2,0,,0.16,,,,1862.9,2177.3
OR3,585,S1,10,,115.9629,18.0147,1999,11,24,4,15,21,,,,222,,0,0,2,0,,0.13,,,,1862.7,2177.8
OR3,585,S1,10,,115.9629,18.0147,1999,11,24,4,15,30,,,,223,,0,0.02,2,0,,0.16,,,,1862.5,2178.5
OR3,585,S1,10,,115.9629,18.0147,1999,11,24,4,15,40,,,,224,,0,0.03,3,0,,0.16,,,,1863.6,2177.3
OR3,585,S1,11,,115.9737,18.0099,1999,11,24,4,32,50,,,,212,,0.3,0.08,4,0,,,,,,1963.8,2235
OR3,585,S1,11,,115.9737,18.0099,1999,11,24,4,32,59,,,,205,,0.7,0.15,4,0.1,,0.27,,,,1998.2,2255.2
OR3,585,S1,11,,115.9737,18.0099,1999,11,24,4,32,80,,,,192,,2.8,0.25,6,0.2,,0.11,,,,2040.3,2272.4
OR3,585,S1,11,,115.9737,18.0099,1999,11,24,4,32,99,,,,187,,7.2,0.58,8,0.1,,0.04,,,,2055.2,2280
OR3,585,S1,11,,115.9737,18.0099,1999,11,24,4,32,149,,,,173,,12.8,0.95,13,0,,0.02,,,,2092.6,2279.4
OR3,585,S1,11,,115.9737,18.0099,1999,11,24,4,32,200,,,,162,,15,1.06,17,0,,0.01,,,,2105.9,2292
OR3,585,S1,12,585S1D08,116.0059,17.9976,1999,11,24,5,0,252,,,,153,,18.5,1.28,29,0,,,,,,2142.9,2289.1
OR3,585,S1,12,,116.0059,17.9976,1999,11,24,5,0,300,,,,141,,22.7,1.51,33,0,,,,,,2167.9,2296
OR3,585,S1,12,,116.0059,17.9976,1999,11,24,5,0,401,,,,129,,27,1.92,49,0,,,,,,2203.9,2310
OR3,585,S1,12,,116.0059,17.9976,1999,11,24,5,0,499,,,,118,,29.7,2.06,61,0,,,,,,2226.2,2328
OR3,585,S1,13,585S1D09,115.998,18.0002,1999,11,24,6,20,599,,,,114,,31.5,2.23,79,0,,,,,,2239.2,2332
OR3,585,S1,13,,115.998,18.0002,1999,11,24,6,20,701,,,,107,,33.8,2.36,88,0,,,,,,2258.8,2352
OR3,585,S1,13,,115.998,18.0002,1999,11,24,6,20,798,,,,102,,35.4,2.5,96,0,,,,,,2280.2,2357
OR3,585,S1,13,,115.998,18.0002,1999,11,24,6,20,1001,,,,109,,37.2,2.63,110,0,,,,,,,
OR3,585,S1,13,,115.998,18.0002,1999,11,24,6,20,1198,,,,112,,37.6,2.7,124,0,,,,,,2318.1,2407
OR3,585,S1,13,,115.998,18.0002,1999,11,24,6,20,1502,,,,116,,37.9,2.73,131,0,,,,,,2340.1,2414.8
OR3,585,S1,15,,116.0017,17.998,1999,11,24,6,36,1801,,,,119,,38.3,2.78,140,0,,,,,,2345.9,2416.9
OR3,585,S1,15,,116.0017,17.998,1999,11,24,6,36,1998,,,,121,,38.5,2.79,143,0,,,,,,2346.9,2428.6
OR3,585,S1,15,,116.0017,17.998,1999,11,24,6,36,2198,,,,122,,38.6,2.8,145,0,,,,,,2345.6,2428.7
OR3,585,S1,15,,116.0017,17.998,1999,11,24,6,36,2400,,,,125,,38.7,2.82,148,0,,,,,,2345,2428.6
OR3,585,S1,15,,116.0017,17.998,1999,11,24,6,36,2488,,,,125,,38.8,2.85,149,0,,,,,,2342.8,2426.7
OR3,600,S1,1,S01D1,115.998,18.0011,2000,1,17,19,20,2,,,,,,0.3,0.11,2,0,,0.14,11.1,3.1,,1916.48,2225
OR3,600,S1,1,,115.998,18.0011,2000,1,17,19,20,5,,,,,,0.3,0.11,2,0,,0.15,55,,,1916.95,2221.3
OR3,600,S1,1,,115.998,18.0011,2000,1,17,19,20,10,,,,,,0.3,0.06,2,0,,0.15,40,6.2,,1917.02,2225.3
OR3,600,S1,1,,115.998,18.0011,2000,1,17,19,20,30,,,,,,0.3,0.06,2,0,,0.22,76.3,17,,1927.75,2237.5
OR3,600,S1,1,,115.998,18.0011,2000,1,17,19,20,41,,,,,,0.5,0.06,2,0,,0.53,83,,,1929.89,2238
OR3,600,S1,2,S01D2,115.9699,18.0065,2000,1,17,20,43,51,,,,,,0.7,0.06,2,0.2,,0.6,14.3,1.9,,1932.14,2241
OR3,600,S1,2,,115.9699,18.0065,2000,1,17,20,43,61,,,,,,1.7,0.11,2,0.5,,0.7,18,,,1935.93,2243.34
OR3,600,S1,2,,115.9699,18.0065,2000,1,17,20,43,81,,,,,,1.8,0.11,2,0.4,,,,16,,1937.1,
OR3,600,S1,2,,115.9699,18.0065,2000,1,17,20,43,100,,,,,,3.2,0.17,4,0.1,,0.06,11.7,,,1967.37,2248
OR3,600,S1,2,,115.9699,18.0065,2000,1,17,20,43,151,,,,,,10.7,0.67,11,0,,0.01,19.6,1.2,,2067.19,2275
OR3,600,S1,2,,115.9699,18.0065,2000,1,17,20,43,199,,,,,,15.7,1.11,16,0,,0,45.7,6.4,,2105.48,2281
OR3,600,S1,3,S01D3,116.1659,17.9922,2000,1,17,22,1,301,,,,,,22,1.72,17,0,,,,,,2155.92,2288
OR3,600,S1,3,,116.1659,17.9922,2000,1,17,22,1,400,,,,,,28,2.22,47,0,,,,,,2201.32,2298.75
OR3,600,S1,3,,116.1659,17.9922,2000,1,17,22,1,500,,,,,,35,2.67,64,0,,,,,,2222.77,2314.64
OR3,600,S1,3,,116.1659,17.9922,2000,1,17,22,1,600,,,,,,35.7,2.83,86,0,,,,,,2250.14,2331
OR3,600,S1,3,,116.1659,17.9922,2000,1,17,22,1,801,,,,,,33.3,2.78,83,0,,,,,,2286.72,2345.55
OR3,600,S1,3,,116.1659,17.9922,2000,1,17,22,1,1000,,,,,,27.3,2.72,68,0,,,,,,2310.71,2387
OR3,600,S1,4,S01D4,115.9833,17.9907,2000,1,17,23,35,1200,,,,,,37.3,2.94,91,0,,,,,,2331.56,2405
OR3,600,S1,4,,115.9833,17.9907,2000,1,17,23,35,1501,,,,,,33,2.83,126,0,,,,,,2337.61,2420.14
OR3,600,S1,4,,115.9833,17.9907,2000,1,17,23,35,1800,,,,,,35,2.83,96,0,,,,,,2342.82,2423
OR3,600,S1,4,,115.9833,17.9907,2000,1,17,23,35,2100,,,,,,36.2,2.83,110,0,,,,,,2345.8,2426.21
OR3,600,S1,4,,115.9833,17.9907,2000,1,17,23,35,2301,,,,,,,,,,,,,,,2346.18,2423
OR3,600,S1,4,,115.9833,17.9907,2000,1,17,23,35,2502,,,,,,,,,,,,,,,2345.06,
OR3,607,S1,1,S1D01,116.0007,18.0017,2000,3,13,20,45,3,,,,,,0,0,1.58,0,,0.11,78.3,,,1901.19,2206.71
OR3,607,S1,1,,116.0007,18.0017,2000,3,13,20,45,6,,,,,,0,0,1.58,0,,0.12,14.4,,,1899.17,2202
OR3,607,S1,1,,116.0007,18.0017,2000,3,13,20,45,10,,,,,,0.17,0,1.06,0,,0.12,10,,,1899.62,2209.63
OR3,607,S1,1,,116.0007,18.0017,2000,3,13,20,45,20,,,,,,0.17,0,1.58,0,,0.11,7.3,0.6,,1899.36,2207.29
OR3,607,S1,1,,116.0007,18.0017,2000,3,13,20,45,30,,,,,,0.17,0,1.58,0,,0.11,8,,,1902.98,2213.22
OR3,607,S1,1,,116.0007,18.0017,2000,3,13,20,45,40,,,,,,0.33,0,1.58,0,,0.12,7.3,1.8,,1905.07,2213.23
OR3,607,S1,2,S1D02,115.9959,18.0062,2000,3,13,21,39,50,,,,,,0.33,0,1.58,0,,,20,,,1937.05,2242.12
OR3,607,S1,2,,115.9959,18.0062,2000,3,13,21,39,61,,,,,,1,0.13,1.58,0.07,,,19,,,1953.2,2248.18
OR3,607,S1,2,,115.9959,18.0062,2000,3,13,21,39,81,,,,,,4.33,0.32,5.28,0.04,,0.57,10,,,1988.13,2251.56
OR3,607,S1,2,,115.9959,18.0062,2000,3,13,21,39,100,,,,,,7,0.52,6.34,0,,0.33,10.6,1.5,,2032.33,2273.74
OR3,607,S1,2,,115.9959,18.0062,2000,3,13,21,39,150,,,,,,12.5,0.87,12.15,0,,0.12,11.8,,,2078.53,2279.3
OR3,607,S1,2,,115.9959,18.0062,2000,3,13,21,39,200,,,,,,15,1.07,17.96,0,,0,6.7,2.2,,2111.13,2284.81
OR3,607,S1,3,S1D03,115.9891,18.0097,2000,3,13,22,46,301,,,,,,21.5,1.54,32,0,,,,,,2163.85,2289.53
OR3,607,S1,3,,115.9891,18.0097,2000,3,13,22,46,401,,,,,,26.2,1.9,46,0,,,,,,2194.21,2303.63
OR3,607,S1,3,,115.9891,18.0097,2000,3,13,22,46,500,,,,,,29.2,2.11,55,0,,,,,,2226.55,2313.02
OR3,607,S1,3,,115.9891,18.0097,2000,3,13,22,46,600,,,,,,31.2,2.27,73,0,,,,,,2251.61,2327
OR3,607,S1,3,,115.9891,18.0097,2000,3,13,22,46,800,,,,,,35.2,2.52,95,0,,,,,,2295.71,2361.5
OR3,607,S1,3,,115.9891,18.0097,2000,3,13,22,46,1000,,,,,,37,2.66,108,0,,,,,,2315.07,2377.55
OR3,607,S1,4,S1D04,115.9976,18.0028,2000,3,14,0,26,1200,,,,,,37.2,2.72,119,0,,,,,,2334.69,2400.56
OR3,607,S1,4,,115.9976,18.0028,2000,3,14,0,26,1499,,,,,,37.7,2.76,128,0,,,,,,2344.81,2420.15
OR3,607,S1,4,,115.9976,18.0028,2000,3,14,0,26,1799,,,,,,38.2,2.79,140,0,,,,,,2349.04,2423.17
OR3,607,S1,4,,115.9976,18.0028,2000,3,14,0,26,2100,,,,,,38.5,2.82,142,0,,,,,,2347.71,2426.43
OR3,607,S1,4,,115.9976,18.0028,2000,3,14,0,26,2300,,,,,,38.6,2.83,146,0,,,,,,2348.16,2424
OR3,607,S1,4,,115.9976,18.0028,2000,3,14,0,26,2500,,,,,,38.8,2.86,146,0,,,,,,2346.56,2424.01
OR3,607,S1,10,S1D10,115.9997,17.9991,2000,3,14,11,45,3,,,,,,0,0,1.58,0,,0.11,,,,1899.08,2205
OR3,607,S1,10,,115.9997,17.9991,2000,3,14,11,45,5,,,,,,0,0,2.11,0,,0.12,,,,1899.83,2203.76
OR3,607,S1,10,,115.9997,17.9991,2000,3,14,11,45,10,,,,,,0.17,0,2.11,0,,0.11,,,,1899.26,2209.63
OR3,607,S1,10,,115.9997,17.9991,2000,3,14,11,45,20,,,,,,0.17,0,2.11,0,,,,,,1902.46,2207
OR3,607,S1,10,,115.9997,17.9991,2000,3,14,11,45,30,,,,,,0.17,0,1.58,0,,0.11,,,,1906.6,2210
OR3,607,S1,10,,115.9997,17.9991,2000,3,14,11,45,41,,,,,,0,0,2.64,0,,0.16,,,,1913.82,2213.51
OR3,607,S1,11,S1D11,115.9841,17.9931,2000,3,14,12,41,50,,,,,,0.33,0.16,3.7,0.07,,0.47,,,,1942.9,2242.43
OR3,607,S1,11,,115.9841,17.9931,2000,3,14,12,41,60,,,,,,1.67,0.26,2.64,0.04,,,,,,1956,2244.13
OR3,607,S1,11,,115.9841,17.9931,2000,3,14,12,41,80,,,,,,3.3,0.32,4.23,0.07,,0.43,,,,1964.88,2251.33
OR3,607,S1,11,,115.9841,17.9931,2000,3,14,12,41,100,,,,,,6.3,0.46,5.28,0,,,,,,2016.47,2260
OR3,607,S1,11,,115.9841,17.9931,2000,3,14,12,41,151,,,,,,11.5,0.84,12.15,0,,0.01,,,,2071.17,2280.05
OR3,607,S1,11,,115.9841,17.9931,2000,3,14,12,41,200,,,,,,14.67,1.08,20.07,0,,0,,,,2106.14,2283.05
OR3,607,S1,12,S1D12,115.9975,18.0002,2000,3,14,13,39,301,,,,,,22,1.61,31,0,,,,,,2157.7,2292.28
OR3,607,S1,12,,115.9975,18.0002,2000,3,14,13,39,401,,,,,,26.5,1.95,44,0,,,,,,2192.7,2308.66
OR3,607,S1,12,,115.9975,18.0002,2000,3,14,13,39,501,,,,,,29.33,2.12,55,0,,,,,,2231.64,2326.51
OR3,607,S1,12,,115.9975,18.0002,2000,3,14,13,39,600,,,,,,32,2.33,70,0,,,,,,2253.73,2331.69
OR3,607,S1,12,,115.9975,18.0002,2000,3,14,13,39,801,,,,,,35,2.5,91,0,,,,,,2285.98,2370
OR3,607,S1,12,,115.9975,18.0002,2000,3,14,13,39,1000,,,,,,36.5,2.65,106,0,,,,,,2310.19,2384.33
OR3,607,S1,13,S1D13,116.0003,18.0002,2000,3,14,15,15,1200,,,,,,37.3,2.7,117,0,,,,,,2332.29,2402.66
OR3,607,S1,13,,116.0003,18.0002,2000,3,14,15,15,1500,,,,,,37.7,2.75,130,0,,,,,,2343.13,2420
OR3,607,S1,13,,116.0003,18.0002,2000,3,14,15,15,1800,,,,,,38,2.8,138,0,,,,,,2346.74,2418.66
OR3,607,S1,13,,116.0003,18.0002,2000,3,14,15,15,2100,,,,,,38.6,2.83,141,0,,,,,,2345.56,2423.79
OR3,607,S1,13,,116.0003,18.0002,2000,3,14,15,15,2300,,,,,,38.8,2.85,145,0,,,,,,2346.45,2425.48
OR3,607,S1,13,,116.0003,18.0002,2000,3,14,15,15,2501,,,,,,38.8,2.88,146.3,0,,,,,,2345.05,2424.75
OR3,629,S1,1,,116.0167,17.9921,2000,5,23,20,15,2,,,,232,,0,0,2,0,,0.11,7.5,3.1,,1857.13,2164.12
OR3,629,S1,1,,116.0167,17.9921,2000,5,23,20,15,5,,,,230,,0,0,2,0,,0.1,8.5,,,1859.13,2166.75
OR3,629,S1,1,,116.0167,17.9921,2000,5,23,20,15,11,,,,235,,0,0,2,0,,0.13,10.4,2.1,,1860.22,2165.81
OR3,629,S1,1,,116.0167,17.9921,2000,5,23,20,15,15,,,,228,,0,0,2,0,,0.16,9,,,1863.71,2174.51
OR3,629,S1,1,,116.0167,17.9921,2000,5,23,20,15,20,,,,226,,0,0,2,0,,0.16,31.9,4.9,,1868.33,2172.65
OR3,629,S1,1,,116.0167,17.9921,2000,5,23,20,15,25,,,,,,,,,,,0.15,8,,,1873.69,2176.72
OR3,629,S1,2,S01D1,116.0013,18.0007,2000,5,23,21,15,30,,,,230,,0,0,2,0,,,45.7,6.6,,1899.56,2203.17
OR3,629,S1,2,,116.0013,18.0007,2000,5,23,21,15,35,,,,,,,,,,,0.17,6,,,1907.03,2215.78
OR3,629,S1,2,,116.0013,18.0007,2000,5,23,21,15,41,,,,225,,0,0,2,0,,0.21,7.9,1.2,,1914.55,2215.98
OR3,629,S1,2,,116.0013,18.0007,2000,5,23,21,15,45,,,,,,,,,,,0.17,48,,,1923.53,2223.69
OR3,629,S1,2,,116.0013,18.0007,2000,5,23,21,15,50,,,,222,,0,0.11,3,0,,0.23,45.6,7.1,,1929.11,2230.71
OR3,629,S1,2,,116.0013,18.0007,2000,5,23,21,15,55,,,,,,,,,,,0.22,9,,,1937.08,2236.16
OR3,629,S1,3,S01D2,116.0103,18.0055,2000,5,23,22,50,60,,,,215,,0,0.11,4,0,,0.29,6,,,1946.81,2236.14
OR3,629,S1,3,,116.0103,18.0055,2000,5,23,22,50,70,,,,,,,,,,,0.34,10,,,1961.81,2240.45
OR3,629,S1,3,,116.0103,18.0055,2000,5,23,22,50,79,,,,200,,4.3,0.44,7,0.2,,0.22,13,,,1989.94,2244.76
